subject,bone,run,n,err_win,yaw,motion
3,hip,28172,51,1.882395695039286,-1.4283278365387202,hand_clapping
3,hip,28236,49,-2.8883655122418967,-0.3637772209322697,vertical_jumping
3,hip,28387,33,-7.224961983131611,1.4579423134398761,cross_legged_sitting
4,chest,33584,43,-7.331682529422844,-8.482043989814702,checking_watch
4,chest,33592,33,-9.688911589200986,-11.909784113044878,pointing
4,chest,33893,52,-4.7856305452333965,-6.475384787720106,taking_photo
4,chest,34050,52,-3.3894220576258958,-8.969374162935086,crossarms
4,chest,34062,48,-2.401106180588085,-10.123095320692652,scratching_head
4,chest,34909,50,-0.37435863032902,1.4655164013500692,sitting_down
4,footL,35226,96,0.6193042370978789,-9.445575407148677,checking_watch
4,footL,35517,63,1.5787090897821965,-6.192705006822541,taking_photo
4,footL,35681,72,0.0643240118337467,-8.955221827950576,crossarms
4,footL,35682,58,-1.458702232277367,-10.381232279536118,scratching_head
4,footL,36401,34,-1.1982439972045136,-6.318395764886982,hand_waving
4,footR,36748,97,1.8431634268260766,-9.447983539381234,checking_watch
4,footR,37033,51,-0.08635302958033618,-6.529096842037986,taking_photo
4,footR,37205,72,-1.2646844817551708,-8.955221827950576,crossarms
4,footR,37206,57,0.06893252093285794,-10.385823075188293,scratching_head
4,footR,37566,81,3.0835360564508716,7.001961380041002,stretching
4,footR,37892,31,-1.8021677287548503,-6.352554984751144,hand_waving
4,footR,37953,53,-4.82398746469924,1.4452680486373155,sitting_down
4,hip,38275,47,-2.351087774503693,-8.38284433220948,checking_watch
4,hip,38282,36,-5.898164376245543,-11.594110823972114,pointing
4,hip,38575,46,1.0147604355761646,-6.652768492747052,taking_photo
4,hip,38737,68,-1.312202889537404,-8.902592101309635,crossarms
4,hip,38744,30,4.907189554414345,-9.950116173787366,scratching_head
4,hip,39187,30,15.97443067943937,8.636587015122982,stretching
4,hip,39556,34,-2.5564197173596743,-6.350654177665483,hand_waving
4,hip,39635,47,-6.627365320355158,1.5067781882264968,sitting_down
4,shinR,41656,60,-8.108961907952374,1.4884674412008028,sitting_down
4,thighR,43686,62,-0.5545381967137849,1.5093636170736133,sitting_down
5,chest,44149,64,-5.206777795186334,1.291328471948782,taking_photo
5,chest,44529,51,-3.9919050862105596,0.5178458678293243,scratching_head
5,chest,44562,64,3.9222824772893925,1.6611934663904515,crossarms
5,chest,44890,50,-1.188985621717598,-6.49027102691133,cross_legged_sitting
5,chest,45038,75,-4.013365319543318,-3.862397019163923,phone_talking
5,chest,45141,48,4.110959356081495,-2.1611580489023696,hand_clapping
5,footL,45688,63,-1.7370016158198947,1.2458521718864086,taking_photo
5,footL,46081,53,0.5450277891072802,0.5422281832794658,scratching_head
5,footL,46082,72,0.00570011018416789,2.5663200990128416,hand_waving
5,footL,46088,68,-0.30163580063637674,1.6699491782128855,crossarms
5,footL,46475,45,-0.6163306368699707,1.004263524293793,pointing
5,footL,46657,40,-0.3565547393101268,-3.71416743037393,phone_talking
5,footL,46742,100,-1.6529418650496763,-1.4669248209603936,hand_clapping
5,footL,46825,32,-1.1182710243349954,-1.535130801696659,running_in_spot
5,footL,46827,91,2.1165151903791295,-4.592593608025634,dancing_rm
5,footL,46833,30,1.9912127920475429,-0.5459447136632912,dancing_rm
5,footR,47176,72,-1.2510897877522236,1.16110445977772,taking_photo
5,footR,47585,42,-1.4083366848528247,0.682582678840418,scratching_head
5,footR,47586,72,-0.1478728903869984,2.5663200990128416,hand_waving
5,footR,47601,67,0.49695153844718976,1.713220955215573,crossarms
5,footR,47800,31,-1.0675012481762378,9.292337918762867,checking_watch
5,footR,47978,56,-1.6554385612440863,1.8676530515385308,pointing
5,footR,48209,76,0.3292496437748384,-4.008007415045097,phone_talking
