cam,subject,motion,matched,bone,mode,win_s,err_raw,err_cal,dev_prior
PG1,2,scratching_head,1,chest,imu5,2.0,13.462314246972047,21.352017790366215,21.630364202373293
PG1,2,scratching_head,1,thighL,imu5,2.0,-39.310874142193455,23.944140095276133,17.93864241879911
PG1,2,scratching_head,1,thighR,imu5,2.0,97.17595977254476,22.032445180025885,21.686109947372266
PG1,2,scratching_head,1,shinL,imu5,2.0,-37.052510107983636,18.335295210936042,16.726820706153262
PG1,2,scratching_head,1,shinR,imu5,2.0,90.79031231027788,30.386969370634304,23.697262261466037
PG1,3,sitting_down,1,hip,none,4.5,-2.8066435367256624,-3.1061282993576667,
PG1,3,sitting_down,1,chest,none,4.5,-2.6419874683273976,-10.451624436254722,
PG1,3,sitting_down,1,thighL,none,4.5,115.86232285653375,6.5486978674538605,
PG1,3,sitting_down,1,thighR,none,4.5,-132.9420430489384,-132.9420430489384,
PG1,3,sitting_down,1,shinL,none,4.5,120.78460111126915,15.504902036744665,
PG1,3,sitting_down,1,shinR,none,4.5,-143.15685920333152,-143.15685920333152,
PG1,3,sitting_down,1,hip,imu1,4.5,-2.1299686519991,-2.429453414631104,1.7493614896827132
PG1,3,sitting_down,1,chest,imu1,4.5,-1.5502599093826541,-9.359896877309978,10.593086275704033
PG1,3,sitting_down,1,thighL,imu1,4.5,54.68030670824724,-16.64964369284012,16.924822327981115
PG1,3,sitting_down,1,thighR,imu1,4.5,-47.32931534839007,-47.32931534839007,47.64182352344126
PG1,3,sitting_down,1,shinL,imu1,4.5,59.6025849629827,-7.69343952354929,7.159126008249104
PG1,3,sitting_down,1,shinR,imu1,4.5,-57.54413150278326,-57.54413150278326,58.579852190928285
PG1,3,sitting_down,1,hip,imu3,4.5,-2.1299686519991,-2.429453414631104,0.05329734965087504
PG1,3,sitting_down,1,chest,imu3,4.5,-1.5502599093826541,-9.359896877309978,13.589361072958145
PG1,3,sitting_down,1,thighL,imu3,4.5,54.68030670824724,-16.64964369284012,15.536429374740079
PG1,3,sitting_down,1,thighR,imu3,4.5,-47.32931534839007,-47.32931534839007,52.134809025389806
PG1,3,sitting_down,1,shinL,imu3,4.5,59.6025849629827,-7.69343952354929,6.447545527484351
PG1,3,sitting_down,1,shinR,imu3,4.5,-57.54413150278326,-57.54413150278326,61.08439214420872
PG1,3,sitting_down,1,hip,imu5,4.5,-2.1299686519991,-2.429453414631104,2.71073182558416
PG1,3,sitting_down,1,chest,imu5,4.5,-1.5502599093826541,-9.359896877309978,11.410642989643886
PG1,3,sitting_down,1,thighL,imu5,4.5,54.68030670824724,-16.64964369284012,18.553742840177467
PG1,3,sitting_down,1,thighR,imu5,4.5,-47.32931534839007,-47.32931534839007,43.89307383361881
PG1,3,sitting_down,1,shinL,imu5,4.5,59.6025849629827,-7.69343952354929,9.023841999242189
PG1,3,sitting_down,1,shinR,imu5,4.5,-57.54413150278326,-57.54413150278326,57.011980176693356
PG1,3,cross_legged_sitting,1,hip,none,4.1,2.85443393557779,-8.250075168276723,
PG1,3,cross_legged_sitting,1,chest,none,4.1,-1.232794411107994,-7.500638359857137,
PG1,3,cross_legged_sitting,1,thighL,none,4.1,106.92618526171178,-16.269510507674237,
PG1,3,cross_legged_sitting,1,thighR,none,4.1,-95.83610104650258,4.42720950224476,
PG1,3,cross_legged_sitting,1,shinL,none,4.1,138.83168530928558,17.558471742420554,
PG1,3,cross_legged_sitting,1,shinR,none,4.1,-123.85100269764095,-29.862937052581298,
PG1,3,cross_legged_sitting,1,hip,imu1,4.1,2.85443393557779,-6.727587296854109,8.05743560179137
PG1,3,cross_legged_sitting,1,chest,imu1,4.1,-0.5067170662629022,-6.774561015012045,6.5715682144192975
PG1,3,cross_legged_sitting,1,thighL,imu1,4.1,42.455056914031594,-30.652349274494135,29.320157095987504
PG1,3,cross_legged_sitting,1,thighR,imu1,4.1,-56.133196167678214,27.627624986535782,26.54140570271161
PG1,3,cross_legged_sitting,1,shinL,imu1,4.1,74.36055696160541,3.175632975600632,3.8359475665410043
PG1,3,cross_legged_sitting,1,shinR,imu1,4.1,-84.1480978188166,-6.662521568290378,7.696010886602648
PG1,3,cross_legged_sitting,1,hip,imu3,4.1,-1.3032668718203004,-10.885288104252199,10.24047460841168
PG1,3,cross_legged_sitting,1,chest,imu3,4.1,-1.232794411107994,-7.500638359857137,5.611942807437317
PG1,3,cross_legged_sitting,1,thighL,imu3,4.1,42.455056914031594,-30.652349274494135,35.49969922853286
PG1,3,cross_legged_sitting,1,thighR,imu3,4.1,-56.133196167678214,27.627624986535782,26.736574567717057
PG1,3,cross_legged_sitting,1,shinL,imu3,4.1,74.36055696160541,3.175632975600632,4.4126286308687614
PG1,3,cross_legged_sitting,1,shinR,imu3,4.1,-84.1480978188166,-6.662521568290378,7.505675294686802
PG1,3,cross_legged_sitting,1,hip,imu5,4.1,-1.3032668718203004,-10.885288104252199,9.666807786951418
